datetime,Earliest eventStart,Earliest eventEnd,vehicleId,First eventType,First eventData,First moveMode,First eventPosition
2022-10-03 12:00:04,2022-10-03 12:00:04,2022-10-03 12:00:06,L19538,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040178313"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":10.62,""distance"":37.142967,""relativeBearing"":-1,""headingDifference"":-3.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.91671,50.02085]},""time"":2022-10-03 12:00:04.12,""positionUTM"":{""type"":""Point"",""coordinates"":[649232.8,5543028.5]}}"
2022-10-03 12:00:30,2022-10-03 12:00:30,2022-10-03 12:00:32,L19186,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040116513"",""opponentVehicleType"":{""id"":0,""name"":""Unknown""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":4.111574,""relativeBearing"":16,""headingDifference"":33.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.879196,50.190132]},""time"":2022-10-03 12:00:29.654,""positionUTM"":{""type"":""Point"",""coordinates"":[651385.56,5561923.5]}}"
2022-10-03 12:00:36,2022-10-03 12:00:36,2022-10-03 12:00:54,L19186,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040154513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":87,""headingDifference"":-49.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87898,50.190308]},""time"":2022-10-03 12:00:36.06,""positionUTM"":{""type"":""Point"",""coordinates"":[651400.1,5561943.5]}}"
2022-10-03 12:00:37,2022-10-03 12:00:37,2022-10-03 12:00:40,L19186,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040175913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.51450014,""relativeBearing"":-6,""headingDifference"":-158.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.878975,50.190346]},""time"":2022-10-03 12:00:37.161,""positionUTM"":{""type"":""Point"",""coordinates"":[651400.5,5561947.5]}}"
2022-10-03 12:00:38,2022-10-03 12:00:38,2022-10-03 12:00:43,L19186,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040182782"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.3435068,""relativeBearing"":-16,""headingDifference"":-175.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.878975,50.190376]},""time"":2022-10-03 12:00:38.163,""positionUTM"":{""type"":""Point"",""coordinates"":[651400.1,5561951.0]}}"
2022-10-03 12:00:40,2022-10-03 12:00:40,2022-10-03 12:00:42,L19186,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040191913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.84236,""relativeBearing"":-33,""headingDifference"":123.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87902,50.190426]},""time"":2022-10-03 12:00:40.364,""positionUTM"":{""type"":""Point"",""coordinates"":[651397.0,5561956.5]}}"
2022-10-03 12:00:54,2022-10-03 12:00:54,2022-10-03 12:00:56,TK954,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040177682"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":37.044,""distance"":0.058730602,""relativeBearing"":-73,""headingDifference"":178.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.881516,50.16288]},""time"":2022-10-03 12:00:53.73,""positionUTM"":{""type"":""Point"",""coordinates"":[651305.6,5558889.0]}}"
2022-10-03 12:01:08,2022-10-03 12:01:08,2022-10-03 12:01:25,L21568,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040185913"",""opponentVehicleType"":{""id"":33,""name"":""ServiceTruck""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":2.3288455,""relativeBearing"":-148,""headingDifference"":-46.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87823,50.19106]},""time"":2022-10-03 12:01:07.751,""positionUTM"":{""type"":""Point"",""coordinates"":[651451.6,5562028.5]}}"
2022-10-03 12:01:15,2022-10-03 12:01:15,2022-10-03 12:01:45,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040170523"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":-34,""headingDifference"":83.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87928,50.189156]},""time"":2022-10-03 12:01:14.521,""positionUTM"":{""type"":""Point"",""coordinates"":[651382.7,5561815.0]}}"
2022-10-03 12:01:16,2022-10-03 12:01:16,2022-10-03 12:01:45,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040172313"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":-25,""headingDifference"":94.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87924,50.18915]},""time"":2022-10-03 12:01:15.622,""positionUTM"":{""type"":""Point"",""coordinates"":[651385.4,5561814.5]}}"
